pos	rup	ron
sf	ghiftami	ţigănime
sm	ghiftu	lăutar
omu	Ghiftu	Ţigan
adj	ghigânescu	albanezesc
adj	ghigantu	gigant
locu	Ghigârii	Albania
adj	ghighiftescu	ţigănesc
sn	ghigoru	piatră ponce
sm	ghilandru	cilindru
sm	ghilandru	cocoloş
sm	ghilandru	sferă
vb 4	ghilindescu - mi	rostogoli
sn	ghiliru	câştig ilicit
sf	ghilishti	deranj
sf	ghilishti	dezordine
sf	ghimii	barcă
sf	ghimii	corabie
sf	ghimii	luntre
sf	ghimii	navă
sf	ghimtâ	naţiune
sf	ghimtâ	popor
vb 4	ghimtuescu - mi	pârâi, v
sf	ghinâteatsâ	bineţe
sf	ghincâ	pâlnie
sf	ghincalâ	chingă
sf	ghincalâ	greier
sf	ghindâ	ghindă
sf	ghindâ	naţiune
sf	ghindâ	popor
sf	ghineatsâ	bun lucru
sf	ghineatsâ	fericire
sf	ghineri	caro - la cărţi de joc
adv	ghini	bine
sf fpl	ghini	bine
adv	ghini	noroc
sf fpl	ghini	noroc
sf	ghintâ	naţie
sf	ghintâ	popor
sf	ghintanâ	plisc
sf	ghintani	plisc
vb 4	ghinuescu - mi	da bineţe, v
vb 4	ghinuescu - mi	saluta, v
conj	ghio	cică
conj	ghio	desigur
conj	ghio	doar
conj	ghio	parcă
conj	ghio	pare-se că...
conj	ghio	poate
conj	ghio	vezi bine!
conj	ghioa	cică
conj	ghioa	desigur
conj	ghioa	doar
conj	ghioa	parcă
conj	ghioa	pare-se că...
conj	ghioa	poate
conj	ghioa	vezi bine!
conj	ghioai	cică
conj	ghioai	desigur
conj	ghioai	doar
conj	ghioai	parcă
conj	ghioai	pare-se că...
conj	ghioai	poate
conj	ghioai	vezi bine!
conj	ghioam	cică
conj	ghioam	desigur
conj	ghioam	doar
conj	ghioam	parcă
conj	ghioam	pare-se că...
conj	ghioam	poate
conj	ghioam	vezi bine!
sf	ghioarâ	viorea
sm	ghiocu	roib - cal brun-roşcat
conj	ghioia	cică
conj	ghioia	desigur
conj	ghioia	doar
conj	ghioia	parcă
conj	ghioia	pare-se că...
conj	ghioia	poate
conj	ghioia	vezi bine!
conj	ghioiam	cică
conj	ghioiam	desigur
conj	ghioiam	doar
conj	ghioiam	parcă
conj	ghioiam	pare-se că...
conj	ghioiam	poate
conj	ghioiam	vezi bine!
sf	ghioli	lac
sf	ghionâ	pingea
sm	ghioni	ghionoaie - pasăre
sf	ghioni	pingea
sm	ghionu	ghionoaie - pasăre
sn	ghionu	pingea
sm pl	ghioshanji	locuitorii din josul localităţii
adv	ghiosu	jos
sm	ghioz-boiagi	prestidigitator
sm	ghioz-boiagi	scamator
sf	ghirâkina	şoim
sm	ghirâkinu	şoim
sf	ghirdani	colier
sf	ghirdani	salbă
sf	ghirdapi	cataractă de râu
sn	ghirgalu	roată
sf	ghirgefi	gherghef
sf	ghirgheanâ	fată mare
sf	ghirgheanâ	fecioară - fată
sf	ghirgheanâ	tânără
sm	ghirghenu	fecior
sm	ghirghenu	tânăr
sf	ghirghinâ	simpatic
sn	ghirghiru	strecurătoare
sf	ghiritâ	boală de ochi
sn	ghiritsu	fulger
sn	ghirizu	canal subteran
vb 4	ghirnuescu - mi	cinsti, v
sf	ghismâ	dijmă
mesu 09	Ghismâciuni	Septembrie
vb 1	ghismedzu	dijmui, v
sf	ghitâ	viţă de vie
sf	ghitrii	leac
sf	ghitrii	medicament
sf	ghitrishcâ	leac
adj	ghiu	viu
sn	ghiubecu	piuă de piatră
sn	ghiubecu	podoabă de cap
sf pl?	ghiucâ	?dificultate
sf	ghiuci	părere de rău
sm	ghiule	ghiulea
sm	ghiule	obuz
adj	ghiuleabiu	trandafiriu
sf	ghiuleapi	apă de trandafir
sf	ghiulei	ghiulea
sf	ghiulei	obuz
sn	ghiulsu	apă de trandafir
sf	ghiulvaracă	plăcintă dulce
sf	ghiumacâ	ibric mic
sf	ghiumacâ	ţârâita - fig
sn	ghiumaciu	ibric mic
sn	ghiumaciu	ţârâita - fig
sf	ghiumbrucâ	vamă
sf	ghiumi	vas din cupru cositorit pt apă
sn	ghiumiciu	ibric mic
sf	ghiumitsâ	ibric
sf	ghiumsâ	măsură
sn	ghiumu	tobă
sn	ghiumu	vas din cupru cositorit pt apă
sf	ghiuralantâ	stambă înflorată
sf	ghiurdani	colier
sf	ghiurdani	salbă
sf	ghiurdânjitsâ	colier mic
sf	ghiurdânjitsâ	salbă mică
adj	ghiurghiuliu	încântător
sm	ghiurghiuvanu	liliac - plantă
sm	ghiurultagi, ghiurultageadz	certăreţ
sf	ghiurultii	gălăgie
sf	ghiurultii	tapaj
sf	ghiurultii	vacarm
sf	ghiushtâ	palmă pe ceafă
sf	ghiushtâreauâ	palmă pe ceafă
sm	ghiushu	bunic
omu	Ghiusmâpingâ	Albanez - poreclă (jumatate de opincă)
vb 4	ghiuvasescu	citi, v
sn	ghiuveciu	ghiveci - pt flori
adj	ghiuvezi	roşu-închis
sm	ghiuvrecu	covrig
sf	ghiuzdani	ghiozdan
sn	ghivaru	mâncare scumpă
sn	ghiveciu	ghiveci - pt flori
adj	ghivezu	roşiatic
vb 4	ghivisescu	citi, v
sm	ghivrecu	covrig
sn	ghivrecu	covrig
adj	ghivrecu	crocant
adj	ghivrecu	crud
adj	ghivrecu	fragil
sf fpl	ghizâ	brânză
sf	ghizai	amendă
sf	ghizapi	apă tare - acid azotic
sm	ghizapu	apă tare - acid azotic
sf	ghizâreauâ	brânză slabă
sm	ghizaru	brânzar - care face brânză
sm	ghiză, ghizadz	amendă
sf	ghizeri	plimbare
sf	ghizii	ţesătură lucioasă
sf	ghizintii	antreu - de casă
vb 4	ghizirsescu - mi	plimba, v
vb 1	ghizmedzu	dijmui, v
sf pl	giditsi	nădragi
sm	gifă, gifadz	glumă
adj	gigantu	gigantic
adj	gigantu	uriaş
sm	gigive	ibric
sf	giglatâ	pas
sm	gijve	ibric
sf	gijvei	ibric
sm	gilatu	călău
adj	gilatu, ca	rău - om
sf	gileai	lustru
sf	gileai	strălucire
sm	gileatu	călău
sm	gileatu	gealat - călău
adj	gileatu	zdrahon
sm	gilepci, gilepceadz	încasator de taxa de oierit
sn	gilepu	taxa de oierit
sm	gilfe, gilfedz	graţie
vb 4	gilitipsescu - mi	masacra, v
sn	gilitu	lance
sn	gilitu	suliţă
sn	gilitu, pl giliti, gilituri, gilidz	raza soarelui
sf	giliturâ	săgeată
sm	giljeatu	călău
sf	gilvei	graţie
sf	gilvei	şarm
sf	gimândani	mintean - haină scurtă bărbătească
sf	gimbâshlâki	geambaşlâc - profesie
sf	gimbushi	ospăţ
sf	gimbushi	petrecere
sf	gimbushi	veselie
sf	gimbusi	ospăţ
sf	gimbusi	petrecere
sf	gimbusi	veselie
sf	gimii	geamie
sf	gimii	moschee
sm	gindârmă, gindârmadz	jandarm
sm	gindaru	jandarm
sf	gindi	demon
adj	gindosu	furios
sf fpl	ginemi	infern
sf	ginsâ	naţiune
sf	ginsâ	neam
sf	ginsâ	popor
sf	gintâ	naţiune
sf	gintâ	neam
sf	gintâ	popor
sf	ginti	naţiune
sf	ginti	neam
sf	ginti	popor
sf	giocâ, giots	manta de lână
vb	giocu	călări (echitaţie)
vb 1	giocu - mi	dansa
vb 1	giocu - mi	juca, v
sn	giocu, giocuri	dans
sn	giocu, giocuri	joc
sn	giocu, giots	manta de lână
dzuuâ 4	Gioi	Joi
numâ dit pirmithi	Gioia	Joimăriţa
adj	gioni	brav
sm	gioni	flăcău
sm	gioni	june
adj	gioni	viteaz
adj	gioni	voinic
numâ dit pirmithi	Gioni-aleptu	Făt-frumos
numâ dit pirmithi	Gioni-mushatu	Făt-frumos
sf	giopi	buzunar
sm	girahu	chirurg
sm	girime, girimedz	amendă
sf	girimei, girimei	amendă
vb 4	girimitisescu	amenda, v
vb 4	girimitsescu	amenda, v
sm	gisve, gisvedz	ibric
sf	gisvei, gisvei	ibric
sf	giubă	haină lungă şi largă boierească
sm	giube,giubedz	haină lungă şi largă boierească
sf	giucâreauâ	jucărie
adj	giucâtoru	jucător
sm	giucâtoru	jucător
sn	giudetsu	judecată
sn	giudetsu	tribunal
sf	giudicatâ	judecată
sf	giudicatâ	proces
sf	giudicatâ	tribunal
sm	giudicâtoru	judecător
vb 1	giudicu	admonesta
vb 1	giudicu	aprecia, v
vb 1	giudicu	certa, v
vb 1	giudicu	comenta, v
vb 1	giudicu	cugeta, v
vb 1	giudicu	da cu părerea, v
vb 1	giudicu	judeca, v
sm	giudicu	judecător
vb 1	giudicu	mustra, v
vb 1	giudicu	reflecta, v
sm	giufă, giufadz	tapaj
sm	giufă, giufadz	tărăboi
sf	giufcâ	creastă de cocoş
sm	giugaru	vătrai
sm	giugastru	jugastru - pom
sm	giugâtoru	bou de jug
sm	giugia, giugianj	pitic
sf	giugii, giugii	pereche de boi de jug
sf	giugiufcâ, giugiufki	moţ
sm	giugive, giugiuvedz	ibric
sn	giugu	creastă de munte
sn	giugu	jug
sn	giugu	munte
sn	giugu	pădure
sn	giugu	pom
sn	giugu	suiş
sn	giugu	urcuş
vb 4	giuguescu	înjuga, v
sf fpl	giuiapi	răspuns
sf	giumâati	adunare
sf	giumâati	comunitate
sn	giumacu	ciomag
sf	giumaeti	adunare
sf	giumaeti	comunitate
sf	giumandani	mintean - haină scurtă bărbătească
sf	giumb(i)usi	banchet
sf	giumb(i)usi	festin
sf	giumb(i)usi	oapăţ
sf	giumb(i)usi	petrecere
sf	giumb(i)usi	veselie
sf	giumbâ	cucui
sf	giumbâ	tumoare
sf	giumbâ	umflătură
sf	giumbră	cucui
sf	giumbră	tumoare
sf	giumbră	umflătură
sf	giumcâ	cucui
sf	giumcâ	tumoare
sf	giumcâ	umflătură
adj	giumertu	darnic
adj	giumertu	generos
sf	giumetâ	jumătate
sf	giumitati	jumătate
sf	giumiticâ	sticluţă cu alcool
sm+f	giumiticu	jumătăţică
sm	giunacu	curajos
sm	giunacu	viteaz
sf fpl	giunami	bravură
sf fpl	giunami	tineret
sf fpl	giunami	tinereţe
sf fpl	giunami	tineri mulţi
sf fpl	giunami	viteji mulţi
sf fpl	giunami	vitejie
sm	giunaru	tânăr
sm	giunaru	voinic
sn	giunaticu	bravură
sn	giunaticu	tinereţe
sn	giunaticu	vitejie
sf	giuncâ	junică
sm	giuncu	juncan
sm	giuneapini	jneapăn
adv	giuneashti	brav
adv	giuneashti	vitejeşte
adv	giuneashti	voiniceşte
sf	giuneatsâ	bravură
sm+f	giunelu, giuneauâ	voinicel
adj	giunescu	vitejesc
adv	giungiula	razna
sf	giungiulâ	floare roşie înaltă
sf	giungiunâ	floare roşie înaltă
sm	giungiunaru	greier
vb 1	giungljedzu	junghi, a avea - v
sn	giungljiu	junghi dureros
sm	giungu	juncan
sm	giunop(lu)	voinicel
sn	giupâ	jupon
sm	giuphane, giuphanadz	muniţie
sm	giuphani	arsenal
sn	giupu	anteriu
sn	giuraticu	jurământ
adj	giuratu	jurat
sn	giuratu	jurat - care judecă
sn	giuratu	jurământ
sf	giurgiunâ	dandana
vb 1	giuru - mi	făgădui
vb 1	giuru - mi	jura, v
adv	giusta	exact
adv	giusta	precis
adv	giustu	exact
adv	giustu	precis
sm	giuvairgi, giuvairgeadz	bijutier
sm	giuvairgi, giuvairgeadz	giuvaergiu
sf	giuvairi	bijuterie
sf	giuvairi	comoară
sf	giuvairi	giuvaer
invar	giuvairi	preţios
sm	giuvairu	bijuterie
sm	giuvairu	giuvaer
invar	giuvairu	preţios
sf	giuvapi	răspuns
sm	giuvarico, giuvaricadz	giuvaer
sf	givaricalâ, givaricali	giuvaer
sm	givarico	giuvaer
sm	giză, gizadz	amendă
sf pl	glâburi	mocirlă de zăpadă
adj	glâburosu	noroios
sf fpl	glâcâ	esofag
sf fpl	glâcâ	gâtlej
vb 4	glâcâescu	hăpăi - înfuleca
vb 4	glâcâescu	înfuleca, v
sf	glâmi	rahat
vb 4	glâpuescu	înfuleca, v
sf	glâreatsâ	prostie
vb 4	glârescu	înnebuni, v
adj	glârescu	prostesc
vb 4	glârescu	prosti, v
sf	glârilji	prostie
sf	glârimi	prostie
adj	glaru	prost
sn	glaru	prost
adj	glaru-lishoru	uşuratic
sf	glarumarâ	prostie
sf	glârushâ	prostuţă
sm+f	glârushcu	prostuţ
sm+f	glârushu	prostuţ
sn	glasu	rumoare
sn	glasu	ştire
sn	glasu	zgomot
sf	glâvânii	chepeng
sf	glâvânii	trapă
sf	glibâ	pieptene rar
sn	gljeaciu	instrument de făcut agrafe
sf	gljeatsâ	gheatsă
sn	gljemu	ghem
sn	gljetsu	gheatsă
adj	gljiciu	crud
adj	gljiciu	necopt
adj	gljiciu	verde - necopt
sf	gljimâ	glumă
sm	gljinaru	lin - peşte
sm	gljinatu	găinaţ
sf	gljindâ	ghindă
sf	gljindurâ	amigdală
sf	gljindurâ	ghindă
sf	gljindurâ	glandă
sf	gljindurii	ghindă multă
vb 1	gljinedzu	găina, v
sf	gljioagâ	ghioagă
sn	gljiomu	ghem
sf	gljitsimacâ	pâine necoaptă
sf	gljiurâ	zmeură
sf	gloatâ	gloată
vb 4	glubescu	amenda, v
adj	glubudanu	auriu, de aur
vb 4	glubuescu	amenda, v
sm pl?	gluciu	joc de copii
sm pl?	glupu	ţeavă
sf	glutsiri	clocire
sf	goadâ	atac
sf	goadâ	lovitură
sf pl	goali	fleacuri
adj	goalishu	golaş
adj	goalishu	pleşuv
sf pl?	goalji	foaie - de ceapă
sn pl	gofi	ghete, fel de
adj	gofu	cariat
adj	gofu	scorburos
sn	gofu	şold
omu	Gogu, Gogâ	poreclă pt armânj şi pt ortodocşi dată de albanezi
sn	golfu	golf
sf	golinâ	colină
sf	golinâ	creştet pleşuv
sf	golnâ	colină
sf	golnâ	creştet pleşuv
adj	golu	gol - dezbrăcat
adj	golu	gol - vid
adj	golu	nud
adj	golu	numai
adj	golu	sărman
adj	golu	singur
sf	gongalâ	grăunte
sf	gongalâ	neghină
vb 4	gonghisescu	gângăvi, v
sf	gongulâ	grăunte
sf	gongulâ	neghină
adv	gonjea	iute
sf	gornâ	haină - palton
sm	gortsu	pară
sm	gortsu	păr - pom
sf fpl	gotca	poarcă - joc
invar	grâcicâ	cârcă, în
sn	gradhu	grad
sf	grâdinâ	grădină
sn	grâdiniciu	grădiniţă
sf	grâdinushi	grădiniţă
sf	grâditâ	cetate
sf	grâditâ	oraş
sn	grairu	cuvânt
sn	grairu	grai
sn	grairu	vorbă
sn	graiu	cuvânt
sn	graiu	grai
sn	graiu	vorbă
sf	gramâ	carte
sf	gramâ	literă
sf	grâmadâ	grămadă
sf	gramarauâ	piaza rea
sm	grambelu	mire
sm	grambo	mire
omu	Grâmusteanu	Grămostean
adj	grâmustinescu	grămostenesc
sn	grânaru	cereale
sf	grânatsâ	turtă de grâu
sf	grândinâ	grindină
vb impers	grândineadzâ	grindină bate, v
sf	grândini	grindină
sf	grandzâ	bucată
sf	grândzâ	strugure sălbatec
sf	grandzalâ	strugure sălbatec
sf pl	grandzali	fleacuri
sf pl	grandzali	nimicuri
sf	grâneatsâ	grâu
sf	grangâ	creangă
sn	grânishoru	urcior - la ochi
sf	granitsâ	frontieră
sf	granitsâ	graniţă
adj	grânjearcu	mârâitor
adj	grânjearcu	sâcâitor
sn	grânu	colivă
sn	grânu	grâu
sn	grânutsosu	bubos
sn	grânutsu	bob de grâu
sn	grânutsu	furuncul
sn	grânutsu	grăunte
sf	grâpcâ	joc de copii- termen
sf	grâshtealâ	dârstă
sf	grâshtealâ	piuă
adj	grâsicu	grăsuţ
sf	grâsimi	grăsime
adj	grasu	gras
sf	gratsâ	greblă
adj	grâtsescu	grecesc
sn	grâtsu	bucată
sn	grâvâniciu	ţesătură din lână
sm	gravano	ţesătură din lână
sm	gră , gradz	carabină - armă
sf	greaiu	grai
sf	greaiu	vorbă
sf pl	grealili	cele rele
sf	greasâ	gresie
invar	greasca	joc de copii
sf	greasi	gresie
adj	greasu	gras
sf	greatsâ	dezgust
sf	greatsâ	greatsă
sf	greatsâ	greutate
adj	greau	gravidă
adj  f	greau	însărcinată
sn	greblu	râpă
sn	grebu	perete
sn	grebu	râpă
omu	Grecu	Grec
vb 4	greescu	grăi, v
sn	greiu	cuvânt
sn	greiu	grai
sn	greiu	vorbă
sn	gremu	povârniş
sn	gremuru	râpă
sf	grendâ	grindă
sf	grendâ - fig	tolomac
sm	grepu	undiţă
vb 4	grescu	chema, v
vb 4	grescu	grăi, v
vb 4	grescu	spune, v
vb 4	grescu	striga, v
vb 4	grescu	vorbi, v
vb 4	grescu	zice, v
adj	greu	adânc
adj	greu	bogat
adj	greu	dificil
adj	greu	grav
adj	greu	greu
adv	greu	greu
adj	greu	mare
sm	greu	necaz
adj	greu	penibil
sm	greushu	arbore - specie
sf	gribâ	pieptene rar
sf	griblâ	pieptene rar
adj	gribosu	cocoşat
vb 4	gribuescu	gheboşa, v
sf fpl	gricami	greci mulţi
sf	grieatsâ	greatsă
sf	grieatsâ	greutate
sn	griiu	grai
sn	griju	buturugă
sn	grimeljiu	râpă
sf	grimurâ	râpă
sf	grindinâ	grindină
sf	grindinari	grindinare
adj	grindinat	strălucitor ca grindina
vb impers	grindineadzâ	grindină bate, v
sf	grindini	grindină
sf	grinji	dezacord
sn	gripu	undiţă
sf	grishcâ	cârcă
sf	grishti	pleavă
sf	gritâ	chemare
sf	gritâ	strigare
adj	gritsosu	greţos
sf	grivâ	coamă
sm	griveljiu	mierloi
sm	griveljiu	negricios la faţă
adj	grivu	cenuşiu
adj	grivu	gri
adj	grivu	sur - gri
vb 4	grivuescu - mi	cărunţi, v
vb 4	grivuescu - mi	grizona, v
sf	groapâ	groapă
invar	groasi	lăudăroşenie
invar	groasi	miciună
sn	grohtu	fierbere în clocot
sn	grohutu	hohot
sn	grominu	mere pădureţe
sm fpl	grondu	mătase
sm pl?	gronu	mătase
vb 1	gropu	îngropa, v
adj	grosu	gros
sm	grosu	piastru - monedă
adj	grozdavenu	grăsuliu
vb 4	gruhtescu	clocoti, v
sn	grumadzu	esofag
sn	grumadzu	gâtlej
sn	grumadzu	grumaz
sf	grumbâ	grămadă
sn	grumburu	grămadă
sn	grumuru	cârd
sn	grumuru	grămadă
sn	grumuru	grup
sf	grundâ	bucată
sm	grundetsu	peşte - specie de
sf	grundzâ	bucată
sf pl	grundzâ	tărâţă
sf	grunghi	bucată
vb 1	grunjedzu	grohăi, v
sn	grunjiu	bărbie
sm	gruparu	gropar
sf	grupishti	cimitir
sn	grupu	fişic
sn	grupu	grup
sn	grupu	grupă
sn	grupu	săculeţ de bani
sf	gualji	găoace
sm	gube, gubedz	boltă
sm	gube, gubedz	pafta
adj	gubesu	gârbov
adj	gubilosu	boltit
vb 4	gucescu	ghici, v
sf	gucilii	creştet
adv	gudalagâ	repede
vb 4	gudescu - mi	bucura, v
adj	gudiljearcu	gudurat
adj	gudiljearu	gudurat
vb 1+4	gudurescu - mi	gudura, v
vb 1+4	guduru - mi	gudura, v
invar	gugea	cogeamite
invar	gugea	enorm
sm	gugeabashi	primar
invar	gugeamite	cogeamite
vb 4	gugilescu	mângâia, v
sm	gugiu, gugeanji	pitic
sf	gugiufoarticâ	urechelniţă
sf	gugiulii	vârf de arbore
sn	gugiumoljiu	gheomotoc
sn	gugoshu	glonţ
sn	gugoshu	gogoaşă
sf	guguci	guguştiuc
sn	guguciu	con de pin
sn	guguciu	ştiulete
sf	gugufcâ	guguştiuc
sf	gugufci	guguştiuc
sf	guguljeanâ	ciupercă
sf	guguljeanâ	mândruţă - fig
sf	gugurari	gângurire
sn	gugureciu	platan - fructul
vb 1	guguredzu	gânguri, v
vb 1	guguredzu	murmura, v
vb 1+4	gugustedzu - mi	îmbrăţişa, v
vb 1+4	gugustedzu - mi	săruta, v
vb 1+4	gugustescu - mi	îmbrăţişa, v
vb 1+4	gugustescu - mi	săruta, v
sf	gugutsâ	narcis
sn	guhticu	guturai
vb 1	guhtisădzu	tuşi, v
sf	gulâciuni	goliciune
sf	gulâciuni	nuditate
sm+f	guldanecu	musafir nepoftit
sf	guleaci - lilicea a Hristolui	băluşcă - floarea lui Hristos
vb 4	gulescu - mi	dezbrăca de tot, v
vb 5	gulescu - mi	goli, v
vb 6	gulescu - mi	jefui, v
sf	gulici - lilicea a Hristolui	băluşcă - floarea lui Hristos
sf	gulinâ	colină
sf	gulinâ	deal gol
adj	gulish(e)anu	golaş
vb 1	gulish(i)nedzu	despuia, v
vb 1	gulish(i)nedzu	fura - fig
vb 1	gulish(i)nedzu	jefui, v
sf	gulivragâ	luncă
sn	guljeano, guljeanadz	somn - peşte
sf	gulubizdră	femeie de nimic
sf	gulubizdră	nemernică
sf	gulubizdră	ticăloasă
sf	gulucustâ	lăcustă
vb 4	gulugescu	sta lângă foc iarna, v
mesu 01	Gulugeu	Ianuarie
sf	gulugustâ	lăcustă
sm	gulumeu	excrement mare
sm	guluvanu	excrement mare
sf	gumaradhâ	grămadă de pietre
sn	gumoljiu	bulz
sn	gumoljiu	cocoloş
sn	gumuljiu	bulz
sn	gumuljiu	cocoloş
sf	gunâ	haină îmblănită
adj	gundu	costeliv
sf	gunduluki	diurnă
sf	gunealâ	haină lunga
sf	gunealâ	manta de damă fără mâneci
sf	gunelâ	haină lunga
sf	gunelâ	manta de damă fără mâneci
invar	gunosu	scârbă
sm	gunusaru	spoitor
vb 4	gunusescu	spoi, v
adj	gunusosu	dezgustător
adj	gunusosu	scârbos
sf	gurâ	gură
sf	gurâ	îmbucătură
sf	gurâ	motiv
sf	gurâ	sorbitură
sf	gurâ	voce
sf	gurabii	prăjitură uscată
sm	gurahanu	plângăcios mare
sf	gurbii	prăjitură uscată
vb 1 unipers	gurguleadzâ	chiorăi, v - maţele
vb 1 unipers	gurguleadzâ	vui, v
adj	gurguljeatu	rotund
adj	gurgulji(u)tosu	bombat
adj	gurgulji(u)tosu	rotund
vb 1	gurguljitedzu - mi	rotunji, v
sn	gurguljiu	gât de vas
sn	gurguljiu	mamelon
sm	gurguljiu	piatră rotundă
sn	gurguljiu	piatră rotundă
sn	gurguljiu	sfârc
sn	gurguljiu	suzetă
sn	gurguljiu	toartă
vb 1	gurguredzu	gânguri, v
vb 1	gurguredzu	murmura, v
sn	gurguru	chiorlăială de maţe
sn	gurguru	murmur
sn	gurguru	susur
sf	guritsâ	guriţă
sf	guritsâ	pere pădureţe
sm	guritsu	păr pădureţ
vb 1	gurledzu	chiorăi, v
vb 1	gurledzu	grohăi, v
vb 1	gurledzu	guiţa, v
vb 4	gurlescu	chiorăi, v
vb 4	gurlescu	grohăi, v
vb 4	gurlescu	guiţa, v
sf	gurlitsâ	grumăzare - boală de grumaz
sf	gurnâ	bazin
vb 1+4	gurnescu	grohăi, v
sn	gurnitsu	pară - fruct
sm	gurnitsu	păr - pm
vb 1+4	gurnjedzu	grohăi, v
sf	gurshoarâ	guriţă
sf	guryitsâ	greabăn - partea dintre ceafă şi spinare
sm	gusacu	gâscan
sf	gushi	cârcă
sf	gushi	gât
sf	gushi	guşă
sn	gushtevaru	lăptucă-specie de
sf	gushtiritsâ	guşteriţă
sm	gushtiru	guşter
sf	gushturari	înrăutăţire
adj	gushturatu	înrăutăţit
vb 1	gushturedzu - mi	irita ca un guşter, v
sf	gushturitsâ	guşteriţă
sm	gushturu	guşter
vb 4	gushuescu	decapita, v
vb 4	gushuescu	gâtui, v
adj	gustosu	gustos
sn	gustu	dispoziţie bună
sn	gustu	gust
vb 1	gustu	gusta, v
sn	gustu	plăcere
adj	gusuratu	cocoşat
sf	gutunji	gutuie
sf	gutunjitsâ	draga mea
sf	gutunjitsâ	gutuiţă
sm	gutunjiu	gutui
sf	guualji	găoace
sf	guvâ	cavernă
sf	guvâ	gaură
sf	guvâleaci	anus
sf	guvâleaci	găurice
sf	guvâlici	anus
sf	guvâlici	găurice
sf	guvatâ	strachină din lemn
sf	guvicâ	găurice
sf	guvici	găurice
sm	guvojdu	caia - cui pt potcoave
sm	guvojdu	cui de potcoavă
adj	guvoru	cocoşat
sm	guvozdu	caia
sm	guvozdu	cui de potcoavă
adj	guvru	sălbatec la privire
sm	guvujdei	ghimpe
adj	guvunosu	găunos
adj	guvunosu	poros
adj	guvunosu	ridat
adj	guvunosu	scobit - lemn
sm	guvunu	excrement mare
sm	guvuzdei	ghimpe
sm	guvuzdeljiu	ghimpe
vb 4	guzgunipsescu	scormoni
vb 4	guzgunipsescu	scotoci, v
adj	guzgunu	scormonitor
sn	guzmoljiu	ghem
sn	guzmoljiu	ghemotoc
sn	guzmoljiu	mototol
sf	hâbari	noutate
sf	hâbari	ştire
sf	hâbari	veste proastă
vb 4	hâbârsescu	atenţie a da, v
vb 4	hâbârsescu	considera, v
vb 4	hâbârsescu	considerare, lua în, v
sf	habere	ştire
sf	habinâ	baltă
adj	habinu	călduţ
adj	habinu	lejer
adj	habinu	strângere lejeră
sf	hâboatâ	băşică
adv	haca	nu
adj	hadhyearcu	răsfăţat
sf	hadhyi	mângâiere
sm	hadumu	eunuc
sm	hagi, hâgeadz	hagiu
adv	hagibă	oare
invar	hagibă	oare ?
sf	hâgilâki	binefacere
sf	hâgilâki	hagealâc
sf	hâgilâki	pelegrinaj
sm	hahamu	rabin
sm	hahă	găgăuţă
sm	hahă	prostănac
sf	hâiati, hâiets	prispă
sf	hâiati, hâiets	tindă - prispă
invar	haidhes	poziţie la arşice
vb 4	hâidipsescu - mi	alinta, v
vb 4	hâidipsescu - mi	dezmierda, v
vb 4	hâidipsescu - mi	mângâia, v
vb 4	hâidipsescu - mi	răsfăţa, v
invar	hai-hui	fluieră vânt
adj invar	hai-hui	haihui
invar	hai-hui	zăpăcit
sm	hai-hui	zăpăcit
sm	haihumu, haihumeanj	zăpăcit
sm	haileasu	leneş
sf	hailesliki	hoinăreală
sf	haima(n)lii, haimalii	amuletă
sm	haimalâ, haimaladz	amuletă
sm	haimalâ, haimaladz	talisman
sm	haimali, haimaladz	amuletă
sm	haimali, haimaladz	talisman
sf	haimalii, haimalii	talisman
sm	haimani, haimanadz	amuletă
sm	haimani, haimanadz	talisman
sf	hâinlâki	lenevie
adj	hainu	leneş
adj	hâinu	leneş
sf	hâiri, hâiri	folos
sf	hâiri, hâiri	noroc
sf	hâiri, hâiri	profit
adv	hairlâtca	noroc, cu
adj	hâirlâtcu	norocos
adj	hâirlâticu	norocos
adv	hairlit(i)ca	noroc, cu
adv	hairula	noroc, cu
vb 4	hâirusescu	fericire a avea, v
vb 4	hâirusescu	noroc a avea, v
vb 4	hâirusescu	profita, v
sf	haki	dreptate
sf	haki	hac
sm pl?	hakiru	stofă de mătase
sf	halâ	hal
sf	halâ	situaţie
sf	halâ	stare proastă
sm	hâlaciu	dărăcitor - cel care dărăceşte
invar	halal(i)	bravo
invar	halal(i)	halal - admiraţie
vb 4	hâlândârescu	hoinări, v
invar	halani	bravo
invar	halani	halal - admiraţie
sf	hâlati, hâlăts	instrument
sf	hâlati, hâlăts	membru al corpului
sf	hâlati, hâlăts	penis
sf	hâlati, hâlăts	unealtă
sm pl?	halatu	ştire
sm	halatu, halati	gălăgie
sm	halatu, halati	zgomot
sm	halazmo, halazmadz	ruină (în)
sf	halcumâ, halcomati	aramă
adj	haldupu	hrăpăreţ
adj	haldupu	nătâng
sm	haldupu	soldat turc
sm	hale, haleadz	latrină
sm	hale, haleadz	wc
sf	hali, hăljiuri	apoplexie
sf	hali, hăljiuri	hal
sf	hali, hăljiuri	nevoia
sf	hâliki	pietrărie
sf	halimâ	poveste încurcată
sf	halimauâ, halimăi	poveste încurcată
sf	hâlitsâ	stâncă
sf	hâlitsâ	stâncărie
sf	haljeati	instrumente
sf	hâljiurâ	hal
sm	hâlke, hâlkeadz	fierar
sf	hâlkeri	var
